Tf_id	Chip_name	Pbm_name
4.1.1.1.1		Sry
2.3.4.2.4	Znf217	
4.1.1.7.1		Sox15
3.1.5.1.2		Isl2
4.1.1.5.1		Sox8
3.1.3.3.1		Arx
1.1.3.1.3		Mafb
3.1.3.1.3		Alx4
3.1.3.1.2		Alx3
3.1.5.3.1		Lhx2
3.1.5.3.2		Lhx9
3.5.2.5.1	Pu1	Sfpi1
3.5.2.5.3		Spic
3.1.2.21.2		Tlx2
3.1.5.5.2		Lhx8
3.1.5.5.1		Lhx6
2.3.4.4.1	Ikzf1	
1.2.6.2.2	Usf2	
1.2.6.2.1	Usf1	
1.3.1.0.5		Tcfap2e
1.3.1.0.2		Tcfap2b
1.3.1.0.3		Tcfap2c
1.3.1.0.1	Ap2	Tcfap2a
1.1.4.0.1	Batf	
3.1.3.21.2		Prrx2
3.1.3.21.1		Prrx1
3.5.2.3.2		Elf2
3.5.2.3.3		Elf4
3.5.2.3.1	Elf1	
1.1.8.1.2	Cebpb	
3.5.2.1.8		Etv3
3.1.3.9.1		Gsc
3.5.2.1.5		Fli1
3.1.2.12.1	Nanog	
3.1.3.27.1		Uncx4.1
3.5.2.7.1		Spdef
3.6.1.0.2	Tead4	
3.7.1.5.1		Arid5a
3.1.1.10.1		Evx1
3.1.1.10.2		Evx2
3.1.3.25.2		Shox2
3.1.1.12.2		Gsh2
8.1.1.0.1	Tbp	Tbp
3.1.3.1.1		Cart1
3.1.1.14.1		Meox1
3.1.2.18.1		Hmx1
3.1.2.18.3		Hmx3
3.1.2.18.2		Hmx2
3.7.1.3.1	Arid3a	Arid3a
3.1.2.14.1		Titf1
3.1.2.14.2		Nkx2-4
3.2.1.2.2		Pax6
3.2.1.2.1		Pax4
3.1.2.16.2		Bapx1
3.1.2.16.1		Nkx3-1
3.1.2.10.2		Lbx2
2.2.1.2.7	Mta3	
3.1.3.19.3		Pitx3
3.1.3.19.2		Pitx2
3.1.3.19.1		Pitx1
2.1.3.5.2	Nr2f2	Nr2f2
3.5.2.2.1	Elk1	Elk1
3.1.3.15.1		Og2x
2.1.3.1.1	Rxra	Rxra
6.2.1.0.5	Stat5a	
6.2.1.0.1	Stat1	
6.2.1.0.2	Stat2	
6.2.1.0.3	Stat3	
6.4.1.0.3	Runx3	
3.1.1.13.1		Hlxb9
3.1.3.17.1		Otx1
3.1.3.17.3		Crx
3.1.3.17.2		Otx2
2.1.1.1.1	Gr	
3.3.1.12.1		Foxl1
3.1.10.4.3		Pou4f3
2.3.3.0.69		Zfp187
3.5.1.6.4	Baf170	
3.5.1.6.3	Baf155	
1.1.1.2.5	Bach1	
1.1.1.2.2	Nrf1	
1.1.1.2.1	Nfe2	
3.1.1.3.1		Hoxa3
3.1.1.3.3		Hoxd3
3.1.1.3.2		Hoxb3
1.2.4.1.12	Bhlhe40	Bhlhb2
3.1.1.5.3		Hoxc5
3.1.1.5.2		Hoxb5
3.1.1.5.1		Hoxa5
3.3.1.16.2	Foxp2	
3.1.10.8.1		Hdx
7.2.1.0.1		Gcm1
3.1.1.7.1		Hoxb8
3.1.1.7.3		Hoxd8
3.1.1.7.2		Hoxc8
3.1.1.9.2		Cdx2
3.1.1.9.1		Cdx1
3.1.10.6.1		Pou6f1
3.1.1.1.3		Hoxd1
3.1.1.1.1		Hoxa1
7.1.2.0.3	Nfic	
2.3.3.5.5		Gm397
1.2.2.2.2		Ascl2
3.1.8.3.1	Zeb1	
2.3.1.3.1	Egr1	Egr1
2.3.1.1.1	Sp1	
2.3.1.1.2	Sp2	
2.3.1.1.4	Sp4	Sp4
6.5.2.0.2		Eomes
3.1.6.2.2		Six6
3.1.6.2.1		Six3
3.1.8.5.4		Homez
2.3.3.1.7		Zic1
2.3.3.1.5		Glis2
2.3.3.1.8		Zic2
2.3.3.1.9		Zic3
4.1.1.2.1		Sox1
4.1.1.2.5		Sox21
4.1.1.2.4		Sox14
2.3.2.1.12	Zbtb33	Zbtb3
2.3.3.9.1	Yy1	
2.3.3.24.2		Zfp410
4.1.3.0.3	Tcf7l2	Tcf7l2
4.1.3.0.1		Tcf1
4.1.1.9.3		Bbx
3.3.1.10.3		Foxj3
4.1.3.0.5	Taf1	
4.1.3.0.4		Lef1
2.3.3.28.2	Znf143	
4.1.1.6.3		Sox18
4.1.1.6.2		Sox17
4.1.1.6.1		Sox7
1.2.6.7.5	Mxi1	
4.1.1.4.1		Sox5
4.1.1.4.3		Sox13
1.2.3.1.1	Tal1	
2.3.2.4.5		Zfp740
