Motif	ROC AUC	MNCP	Enr. at 5% FDR	Max enr.
v-JUN.1_5.ZLAB	0.692	1.372834	5.06	25.00
Jun-AP1.HOMER	0.875	1.756706	15.26	170.00
v-JUN.1_4.ZLAB	0.516	1.019816	1.25	2.50
c-Jun-CRE.HOMER	0.652	1.354166	5.29	22.50
v-JUN.1_2.ZLAB	0.880	1.762298	15.45	182.50
MA0489.1.JASPAR	0.878	1.752769	15.22	165.00
MA0488.1.JASPAR	0.672	1.385347	5.06	40.50
cJun_4.GUERTIN	0.515	1.032788	1.33	1.84
C-JUN_2.3DFOOTPRINT	0.732	1.293809	1.95	232.50
JUN_f1.HOCOMOCO	0.889	1.761427	14.73	171.00
v-JUN.1_1.ZLAB	0.711	1.419125	5.33	37.50
JUN.SWISSREGULON	0.632	1.281194	3.76	17.00
v-JUN.1_3.ZLAB	0.872	1.738326	12.19	128.00
M2289_1.02.CIS-BP	0.672	1.385347	5.06	40.50
Jun.TF2DNA	0.720	1.318054	2.82	3.83
cJun_2.GUERTIN	0.665	1.374269	5.45	33.50
C-JUN_1.3DFOOTPRINT	0.630	1.285161	4.04	11.50
cJun_3.GUERTIN	0.846	1.676045	7.35	34.00
cJun_1.GUERTIN	0.884	1.763820	15.29	169.50
Motif	ROC AUC	MNCP	Enr. at 5% FDR	Max enr.
v-JUN.1_5.ZLAB	0.694	1.400706	4.79	28.50
Jun-AP1.HOMER	0.879	1.801150	15.36	179.00
v-JUN.1_4.ZLAB	0.512	1.020485	1.27	1.50
c-Jun-CRE.HOMER	0.647	1.381059	5.50	44.00
v-JUN.1_2.ZLAB	0.877	1.798156	15.36	166.00
MA0489.1.JASPAR	0.874	1.794589	15.20	163.50
MA0488.1.JASPAR	0.670	1.407741	5.15	45.50
cJun_4.GUERTIN	0.512	1.027298	1.27	2.50
C-JUN_2.3DFOOTPRINT	0.742	1.315329	1.99	240.50
JUN_f1.HOCOMOCO	0.890	1.808664	14.90	180.00
v-JUN.1_1.ZLAB	0.706	1.440446	5.38	46.50
JUN.SWISSREGULON	0.618	1.314015	4.04	19.50
v-JUN.1_3.ZLAB	0.878	1.782830	13.23	118.33
M2289_1.02.CIS-BP	0.670	1.407741	5.15	45.50
Jun.TF2DNA	0.714	1.346821	2.97	4.00
cJun_2.GUERTIN	0.668	1.404283	5.38	43.00
C-JUN_1.3DFOOTPRINT	0.651	1.333520	4.05	14.50
cJun_3.GUERTIN	0.855	1.724782	7.52	27.31
cJun_1.GUERTIN	0.883	1.803130	15.48	178.00
Motif	ROC AUC	MNCP	Enr. at 5% FDR	Max enr.
v-JUN.1_5.ZLAB	0.832	1.705165	11.16	63.00
Jun-AP1.HOMER	0.692	1.515547	8.21	49.00
v-JUN.1_4.ZLAB	0.524	1.039965	1.26	3.00
c-Jun-CRE.HOMER	0.818	1.715247	11.94	109.00
v-JUN.1_2.ZLAB	0.709	1.532373	8.13	58.50
MA0489.1.JASPAR	0.680	1.491730	7.78	43.50
MA0488.1.JASPAR	0.846	1.729789	12.96	44.00
cJun_4.GUERTIN	0.489	0.993356	1.14	2.00
C-JUN_2.3DFOOTPRINT	0.725	1.296624	1.88	118.25
JUN_f1.HOCOMOCO	0.732	1.550020	8.42	34.75
v-JUN.1_1.ZLAB	0.860	1.762697	12.57	112.00
