Motif	SydhK562CjunIfng6h-100	SydhK562CjunIfng30-100	SydhHepg2CjunIggrab-100	SydhHuvecCjun-100	SydhHelas3CjunIggrab-100	SydhK562Cjun-100	SydhK562CjunIfna6h-100	SydhK562CjunIfna30-100	SydhH1hescCjunIggrab-100	Average
JUN_f1.HOCOMOCO	56.08	48.49	18.2	41.95	30.14	74.75	56.6	73.09	21.41	46.7455555556
v-JUN.1_3.ZLAB	53.91	49.58	16.76	38.34	31.0	75.14	57.56	75.81	22.58	46.7422222222
cJun_3.GUERTIN	52.9	50.85	10.31	38.19	29.44	76.2	60.55	76.82	19.84	46.1222222222
v-JUN.1_2.ZLAB	48.0	54.91	14.8	38.06	26.92	66.25	56.35	74.71	14.12	43.7911111111
cJun_1.GUERTIN	45.8	49.1	17.06	35.91	25.38	69.18	50.83	74.62	16.88	42.7511111111
Jun-AP1.HOMER	45.98	45.1	12.53	29.71	23.46	66.05	43.41	72.43	18.55	39.6911111111
MA0489.1.JASPAR	40.03	49.07	12.65	29.05	22.41	68.09	43.47	69.02	12.24	38.4477777778
C-JUN_2.3DFOOTPRINT	20.3	19.05	53.96	14.55	16.59	37.56	29.96	33.72	23.97	27.74
Jun.TF2DNA	14.13	14.97	45.04	7.1	7.89	13.23	18.04	18.07	3.86	15.8144444444
v-JUN.1_1.ZLAB	9.9	12.51	74.54	0.26	-0.0	4.88	3.48	9.28	18.15	14.7777777778
c-Jun-CRE.HOMER	2.89	10.93	72.22	0.32	-0.0	9.09	4.63	6.76	18.31	13.9055555556
MA0488.1.JASPAR	7.79	3.21	79.39	0.0	0.0	5.36	2.41	6.62	19.54	13.8133333333
M2289_1.02.CIS-BP	7.79	3.21	79.39	0.0	0.0	5.36	2.41	6.62	19.54	13.8133333333
JUN.SWISSREGULON	0.0	7.31	86.16	0.01	-0.0	5.34	2.99	3.11	15.12	13.3377777778
cJun_2.GUERTIN	2.53	5.59	75.31	0.0	-0.0	5.07	0.84	8.13	19.51	12.9977777778
C-JUN_1.3DFOOTPRINT	0.0	2.63	81.93	2.03	1.91	3.19	1.51	0.96	9.0	11.4622222222
v-JUN.1_5.ZLAB	0.65	3.75	66.55	0.58	-0.0	4.49	2.77	7.26	16.86	11.4344444444
cJun_4.GUERTIN	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0
v-JUN.1_4.ZLAB	-0.0	0	-0.0	-0.0	-0.0	0	0	0	0	0.0
