Tf_id	Chip_name
1.1.1.1.1	Cjun
1.1.1.1.2	Junb
1.1.1.1.3	Jund
1.1.1.2.1	Nfe2
1.1.1.2.2	Nrf1
1.1.1.2.5	Bach1
1.1.1.3.1	Atf2
1.1.2.1.1	Cfos
1.1.2.1.3	Fosl1
1.1.2.1.4	Fosl2
1.1.2.2.1	Atf3
1.1.3.2.1	Maff
1.1.3.2.3	Mafk
1.1.4.0.1	Batf
1.1.7.1.1	Creb1
1.1.7.1.2	Atf1
1.1.8.1.2	Cebpb
1.1.8.1.4	Cebpd
1.2.1.0.1	Tcf3
1.2.1.0.3	Tcf12
1.2.3.1.1	Tal1
1.2.4.1.12	Bhlhe40
1.2.6.2.1	Usf1
1.2.6.2.2	Usf2
1.2.6.5.1	Cmyc
1.2.6.5.5	Max
1.2.6.7.5	Mxi1
1.3.1.0.1	Ap2
2.1.1.1.1	Gr
2.1.1.2.1	Eralpha
2.1.1.2.3	Erra
2.1.3.1.1	Rxra
2.1.3.2.1	Hnf4a
2.1.3.2.2	Hnf4g
2.1.3.4.2	Tr4
2.1.3.5.2	Nr2f2
2.2.1.1.1	Gata1
2.2.1.1.2	Gata2
2.2.1.1.3	Gata3
2.2.1.2.7	Mta3
2.3.1.1.1	Sp1
2.3.1.1.2	Sp2
2.3.1.1.4	Sp4
2.3.1.3.1	Egr1
2.3.2.1.12	Zbtb33
2.3.3.0.6	Znf274
2.3.3.0.79	Znf263
2.3.3.10.6	Zkscan1
2.3.3.12.1	Prdm1
2.3.3.28.2	Znf143
2.3.3.50.1	Ctcf
2.3.3.50.2	Ctcfl
2.3.3.8.1	Zbtb7a
2.3.3.9.1	Yy1
2.3.4.0.27	Corest
2.3.4.15.1	Bcl11a
2.3.4.2.4	Znf217
2.3.4.4.1	Ikzf1
2.3.4.8.1	Maz
2.9.1.0.1	Thap1
3.1.10.2.2	Pou2f2
3.1.10.5.1	Pou5f1
3.1.2.12.1	Nanog
3.1.4.4.3	Pbx3
3.1.6.3.2	Six5
3.1.8.3.1	Zeb1
3.2.2.2.2	Pax5
3.3.1.1.1	Foxa1
3.3.1.1.2	Foxa2
3.3.1.13.1	Foxm1
3.3.1.16.2	Foxp2
3.3.2.1.1	E2f1
3.3.2.1.4	E2f4
3.3.2.1.6	E2f6
3.3.3.0.5	Rfx5
3.4.1.0.1	Hsf1
3.5.1.1.1	Myb
3.5.1.6.3	Baf155
3.5.1.6.4	Baf170
3.5.2.1.1	Ets1
3.5.2.1.4	Gabp
3.5.2.2.1	Elk1
3.5.2.2.3	Elk4
3.5.2.3.1	Elf1
3.5.2.5.1	Pu1
3.5.3.0.1	Irf1
3.5.3.0.3	Irf3
3.5.3.0.4	Irf4
3.6.1.0.2	Tead4
3.7.1.3.1	Arid3a
3.7.1.4.2	Brca1
3.7.1.6.1	Jarid1a
3.7.1.6.2	Plu1
4.1.3.0.3	Tcf7l2
4.1.3.0.5	Taf1
4.1.6.1.1	Ubf
4.2.1.0.1	Nfya
4.2.1.0.2	Nfyb
5.1.1.1.1	Mef2a
5.1.1.1.3	Mef2c
5.1.2.0.1	Srf
6.1.1.2.1	Nfkb
6.1.2.1.8	Bcl3
6.1.3.0.1	Nfatc1
6.1.5.0.1	Ebf1
6.2.1.0.1	Stat1
6.2.1.0.2	Stat2
6.2.1.0.3	Stat3
6.2.1.0.5	Stat5a
6.4.1.0.3	Runx3
7.1.2.0.3	Nfic
8.1.1.0.1	Tbp
