Tf_id	Chip_name	Pbm_name
1.1.3.2.3	Mafk	Mafk
1.1.7.1.2	Atf1	Atf1
1.2.1.0.1	Tcf3	Tcf3
1.2.4.1.12	Bhlhe40	Bhlhb2
1.2.6.5.5	Max	Max
1.3.1.0.1	Ap2	Tcfap2a
2.1.1.2.3	Erra	Esrra
2.1.3.1.1	Rxra	Rxra
2.1.3.2.1	Hnf4a	Hnf4a
2.1.3.5.2	Nr2f2	Nr2f2
2.2.1.1.3	Gata3	Gata3
2.3.1.1.4	Sp4	Sp4
2.3.1.3.1	Egr1	Egr1
2.3.2.1.12	Zbtb33	Zbtb3
3.1.10.2.2	Pou2f2	Pou2f2
3.3.1.1.2	Foxa2	Foxa2
3.5.1.1.1	Myb	Myb
3.5.2.1.1	Ets1	Ets1
3.5.2.1.4	Gabp	Gabpa
3.5.2.2.1	Elk1	Elk1
3.5.2.2.3	Elk4	Elk4
3.5.2.5.1	Pu1	Sfpi1
3.5.3.0.3	Irf3	Irf3
3.5.3.0.4	Irf4	Irf4
3.7.1.3.1	Arid3a	Arid3a
4.1.3.0.3	Tcf7l2	Tcf7l2
5.1.2.0.1	Srf	Srf
8.1.1.0.1	Tbp	Tbp
