Tf_id	Pbm_name
1.1.2.2.2	Jundm2
1.1.3.1.3	Mafb
1.1.3.2.3	Mafk
1.1.7.1.2	Atf1
1.2.1.0.1	Tcf3
1.2.2.1.4	Myf6-
1.2.2.2.2	Ascl2
1.2.4.1.12	Bhlhb2
1.2.6.5.5	Max
1.3.1.0.1	Tcfap2a
1.3.1.0.2	Tcfap2b
1.3.1.0.3	Tcfap2c
1.3.1.0.5	Tcfap2e
2.1.1.2.3	Esrra
2.1.2.1.1	Rara
2.1.3.1.1	Rxra
2.1.3.2.1	Hnf4a
2.1.3.5.2	Nr2f2
2.2.1.1.3	Gata3
2.2.1.1.5	Gata5
2.2.1.1.6	Gata6
2.3.1.1.4	Sp4
2.3.1.2.7	Klf7
2.3.1.3.1	Egr1
2.3.2.1.12	Zbtb3
2.3.2.4.5	Zfp740
2.3.2.4.7	Osr1
2.3.3.0.1	Zfp161
2.3.3.0.39	Zfp691
2.3.3.0.69	Zfp187
2.3.3.0.9	Osr2
2.3.3.1.5	Glis2
2.3.3.1.7	Zic1
2.3.3.1.8	Zic2
2.3.3.1.9	Zic3
2.3.3.11.3	Zbtb12
2.3.3.13.2	Zfp281
2.3.3.22.1	Bcl6b
2.3.3.24.2	Zfp410
2.3.3.25.3	Plagl1
2.3.3.5.5	Gm397
2.3.3.8.2	Zbtb7b
2.3.4.0.29	Zfp128
2.3.4.17.1	Hic1
3.1.1.1.1	Hoxa1
3.1.1.1.3	Hoxd1
3.1.1.10.1	Evx1
3.1.1.10.2	Evx2
3.1.1.11.1	Gbx1
3.1.1.11.2	Gbx2
3.1.1.12.2	Gsh2
3.1.1.13.1	Hlxb9
3.1.1.14.1	Meox1
3.1.1.15.1	Ipf1
3.1.1.2.1	Hoxa2
3.1.1.3.1	Hoxa3
3.1.1.3.2	Hoxb3
3.1.1.3.3	Hoxd3
3.1.1.4.1	Hoxa4
3.1.1.4.2	Hoxb4
3.1.1.4.3	Hoxc4
3.1.1.5.1	Hoxa5
3.1.1.5.2	Hoxb5
3.1.1.5.3	Hoxc5
3.1.1.6.1	Hoxa6
3.1.1.6.2	Hoxb6
3.1.1.6.3	Hoxc6
3.1.1.6.4	Hoxa7
3.1.1.6.5	Hoxb7
3.1.1.7.1	Hoxb8
3.1.1.7.2	Hoxc8
3.1.1.7.3	Hoxd8
