Motif	SydhK562CjunIfng6h-100	SydhK562CjunIfng30-100	SydhHepg2CjunIggrab-100	SydhHuvecCjun-100	SydhHelas3CjunIggrab-100	SydhK562Cjun-100	SydhK562CjunIfna6h-100	SydhK562CjunIfna30-100	SydhH1hescCjunIggrab-100	Average
v-JUN.1_3.ZLAB	0.961305278174	0.902932070661	0.19452181987	0.913945172825	1.0	0.986089238845	0.950619322874	0.986852382192	0.942010846892	0.870919570259
JUN_f1.HOCOMOCO	1.0	0.883081405937	0.211234911792	1.0	0.972258064516	0.980971128609	0.934764657308	0.951444936215	0.893199833125	0.869661659722
cJun_3.GUERTIN	0.943295292439	0.926060826808	0.119661095636	0.910369487485	0.949677419355	1.0	1.0	1.0	0.827701293283	0.852973935001
v-JUN.1_2.ZLAB	0.855920114123	1.0	0.171773444754	0.907270560191	0.868387096774	0.869422572178	0.93063583815	0.972533194481	0.589069670421	0.796112499008
cJun_1.GUERTIN	0.816690442225	0.894190493535	0.19800371402	0.856019070322	0.818709677419	0.907874015748	0.839471511148	0.971361624577	0.704213600334	0.77850379437
Jun-AP1.HOMER	0.819900142653	0.821344017483	0.145427112349	0.708224076281	0.756774193548	0.866797900262	0.716928158547	0.942853423588	0.773884021694	0.728014782934
MA0489.1.JASPAR	0.71380171184	0.893644144964	0.146819870009	0.692491060787	0.722903225806	0.893569553806	0.717919075145	0.898463941682	0.510638297872	0.687805653546
C-JUN_2.3DFOOTPRINT	0.361982881598	0.346931342196	0.626276694522	0.34684147795	0.535161290323	0.492913385827	0.494797687861	0.438948190575	1.0	0.515983661206
Jun.TF2DNA	0.251961483595	0.272627936624	0.522748375116	0.169249106079	0.254516129032	0.173622047244	0.297935590421	0.23522520177	0.161034626617	0.259880055166
v-JUN.1_1.ZLAB	0.176533523538	0.227827353852	0.86513463324	0.0061978545888	-0.0	0.0640419947507	0.0574731626755	0.120801874512	0.75719649562	0.252800765864
c-Jun-CRE.HOMER	0.0515335235378	0.199052995811	0.838207985144	0.00762812872467	-0.0	0.119291338583	0.076465730801	0.0879979172091	0.763871506049	0.238227680651
MA0488.1.JASPAR	0.138908701854	0.0584592970315	0.921425255339	0.0	0.0	0.0703412073491	0.0398018166804	0.0861754751367	0.815185648728	0.236699711347
M2289_1.02.CIS-BP	0.138908701854	0.0584592970315	0.921425255339	0.0	0.0	0.0703412073491	0.0398018166804	0.0861754751367	0.815185648728	0.236699711347
cJun_2.GUERTIN	0.0451141226819	0.101802950282	0.874071494893	0.0	-0.0	0.0665354330709	0.0138728323699	0.105831814632	0.813934084272	0.224573636911
JUN.SWISSREGULON	0.0	0.133126934985	1.0	0.000238379022646	-0.0	0.0700787401575	0.0493806771263	0.0404842488935	0.630788485607	0.21378860731
v-JUN.1_5.ZLAB	0.0115905848787	0.0682935712985	0.772400185701	0.0138259833135	-0.0	0.0589238845144	0.0457473162675	0.0945066388961	0.70337922403	0.196518598767
C-JUN_1.3DFOOTPRINT	0.0	0.047896558004	0.950905292479	0.0483909415971	0.0616129032258	0.0418635170604	0.0249380677126	0.0124967456392	0.375469336671	0.173730373599
cJun_4.GUERTIN	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0
v-JUN.1_4.ZLAB	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0
